rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,group_a_label,group_a_kind,group_a_column,group_a_value,group_a_n_cells,group_a_scope,group_a_restriction_column,group_a_restriction_value,group_b_label,group_b_kind,group_b_column,group_b_value,group_b_n_cells,group_b_scope,group_b_restriction_column,group_b_restriction_value,loaded_gene_count,total_gene_count,exported_at
36,Otud5,0.5395069512234308,4.528496034875066,0.11869436201780416,0.0958845990666101,0.5614597041281465,0.3862873324409197,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
37,Cd48,0.8845591917510227,4.355029569810553,0.04970326409495549,0.03182011030971574,0.23048542877686837,0.12484266487885493,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
38,Uhrf1,0.5951993246097687,4.319310967089731,0.09272997032640949,0.07212558336868902,0.4243844367276313,0.2809222098574276,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
39,Hcfc1,0.4928293780049574,4.2969330957651035,0.12537091988130564,0.10352142554094187,0.5812862435858752,0.41307918884817907,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
40,Pklr,0.8443094337984866,4.290102291579493,0.05304154302670623,0.03309291472210437,0.23521860134000241,0.13101099030062158,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
41,Pml,0.5581477981495766,4.284830503674949,0.10274480712166172,0.07976240984302078,0.4750085467754556,0.3226129250046961,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
42,Mfsd2b,0.5646542359641246,4.222483222866191,0.09718100890207715,0.07679253288078065,0.45377839442884177,0.30680716204653363,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
43,Plac8,0.24493900305890945,4.206811312680136,0.33827893175074186,0.33008061094611796,1.722560180224014,1.453584789774607,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
44,E2f2,0.4620621952936671,4.17670252348695,0.13130563798219586,0.1120067882901994,0.623116381355846,0.45234971912320915,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
45,Itga4,0.5276586531947355,4.169670808177713,0.10756676557863501,0.08442935935511243,0.49943306909470603,0.3464462213916803,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
46,Ezr,0.5495443666388372,4.1336103364594905,0.09755192878338279,0.07806533729316928,0.45614535438908316,0.31165455335472214,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
47,Cd47,0.3434299939447143,4.129869318599187,0.20660237388724034,0.18667798048366568,0.9830665098453488,0.7748186271677191,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
48,Aif1,0.7384123375139524,4.051912492796071,0.057863501483679525,0.041154009333899025,0.26937684407927515,0.16146370744523125,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
49,Cdca8,0.6810636834510277,4.0304417786262885,0.06528189910979229,0.048366567670767927,0.30020383327580347,0.18723833171502988,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
50,Casp3,0.8088276828272738,4.024285664037329,0.05007418397626113,0.03266864658464149,0.224993042139342,0.1284358436696146,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
51,Bach2,0.7917525002979704,4.0095912465520005,0.050445103857566766,0.034789987271955876,0.24358866874471263,0.14070661866063025,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
52,Tardbp,0.34440907530222586,3.995501429625092,0.19658753709198812,0.17394993635977937,0.9100605558040235,0.7167912584571046,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
53,Stom,0.2748765592577137,3.9382923954264104,0.26409495548961426,0.2515910055154858,1.2779033567855902,1.0562138308596702,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
54,Cdk2,0.7686892054609565,3.9281128244579984,0.05118694362017804,0.035214255409418756,0.23724520604405275,0.13925078403762603,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
55,Hnrnpm,0.3088964501133539,3.89484290245923,0.22292284866468842,0.2006788290199406,1.049638184754714,0.8473296930186062,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
56,E2f4,0.46146295410365135,3.890744852636767,0.1172106824925816,0.0975816716164616,0.5453487326907829,0.396058936517624,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
