rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,region_a_id,region_a_label,region_a_section_id,region_a_n_cells,region_b_id,region_b_label,region_b_section_id,region_b_n_cells,loaded_gene_count,total_gene_count,exported_at
46,Pbx3,4.075048297603864,13.130366657366132,0.16066282420749278,0.0098159509202454,0.1051264828881544,0.006236412907914394,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
47,Lamp5,2.607727956317834,12.76910844743651,0.19740634005763688,0.03885480572597137,0.1249061963636353,0.020490942331667084,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
48,Adgrl2,3.7458947752686202,12.64389964005701,0.15489913544668588,0.013496932515337423,0.0976010805011998,0.0072739897756732555,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
49,Dlx5,2.408411623267582,12.634666338895327,0.20028818443804033,0.034764826175869123,0.12131488368301639,0.022850437520228035,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
50,Pou3f1,3.4179001192022147,12.539600178825589,0.1563400576368876,0.011451942740286299,0.09746710282967826,0.009118521567015073,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
51,Rbms1,2.4665389961297803,12.508911125157503,0.19596541786743515,0.03558282208588957,0.12625739890921012,0.022842258501394153,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
52,Meis1,5.381725452455322,12.451102313056285,0.13256484149855907,0.0028629856850715747,0.08155339421645365,0.00195507983732321,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
53,Ido1,6.9495108002091595,12.418665582591226,0.12536023054755044,0.0016359918200408998,0.07286297169216084,0.0005885241953141851,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
54,Srgap1,2.1129996440899674,12.240315504128429,0.20965417867435157,0.06094069529652352,0.1376648516171432,0.031822647260985736,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
55,Cacna2d2,2.4307319205172484,12.223209443465501,0.19452449567723343,0.03803680981595092,0.11985182571050414,0.02222826269384786,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
56,Otof,4.3495028980631085,11.62785365093496,0.11959654178674352,0.00899795501022495,0.09112059494603951,0.004468824527014984,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
57,Tgfa,1.481396795637856,11.603404047992814,0.2723342939481268,0.10552147239263804,0.187139863905199,0.06702198391067957,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
58,Clic6,4.027315342350174,11.478938935677025,0.11959654178674352,0.0081799591002045,0.06806247183242517,0.004173181972376896,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
59,Smpd3,1.5200339094167394,11.477961553682922,0.25720461095100866,0.11738241308793455,0.16720490010525033,0.058299972202270796,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
60,Gad1,1.031482696384603,11.365543650518957,0.4092219020172911,0.17995910020449898,0.3348409220554815,0.16380605203364282,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
61,Epb41,1.7179884965157233,11.330496574822053,0.23126801152737753,0.06421267893660532,0.14942207658711704,0.04541946797648822,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
62,Htr2a,1.665527055946054,11.161639634352621,0.22694524495677235,0.08957055214723926,0.14851196202575645,0.04681461765478481,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
63,Syt2,3.2832528459868535,11.107643589212987,0.1361671469740634,0.011042944785276074,0.08120264693751116,0.008339996602393854,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
64,Grm8,2.4467895087434197,10.979648779904606,0.15778097982708933,0.026584867075664622,0.09424596090911101,0.017285629326824273,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
65,Acvr1c,1.8422345455790445,10.969241431595865,0.20244956772334294,0.06134969325153374,0.13261405182116656,0.03698394371078546,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
66,Cdh13,2.2122276600688595,10.826723525706711,0.1685878962536023,0.03353783231083845,0.09914784401826969,0.021395403146743774,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
